100位	516765954 pt
500位	360450557 pt
1200位	101982286 pt
1300位	87001319 pt
1000位	134783290 pt
1位	4633478630 pt
10位	1174739634 pt
11位	1147200634 pt
20位	876296141 pt
700位	218263518 pt
765位	206765676 pt
770位	204740382 pt
300位	405002657 pt
1999位	47052410 pt
2000位	47041252 pt
2999位	28231005 pt
3000位	28208286 pt
3999位	19679125 pt
4000位	19676431 pt
4999位	14455087 pt
5000位	14450538 pt
9999位	3885004 pt
10000位	3884680 pt
15000位	1198988 pt
20000位	28800 pt
30000位	0 pt
45000位	0 pt
※05/24 16:55 集計時点のポイントですBY SKDN
