1位	HHV(仮)	500000000000000502	9117947
2位	765飯店	1000000000000000962	8831445
3位	TrySail	1500000000000003422	8099875
4位	新月会	700000000000004707	7969187
5位	アイドルと機関銃🍬🍬🍬	400000000000000749	6886348
6位	台湾行きたいワン！	1500000000000005246	6814872
7位	プロジェクトイオリー	200000000000000623	5684590
8位	Starlight*	1500000000000005236	5036983
9位	スピカ	5183	4846852
10位	R-Gray	1500000000000004429	4132486
11位	ｽﾍﾞｯても平気なﾗｳﾝｼﾞ	300000000000004806	4014032
12位	ホワイトボードフェスタ	1000000000000005146	3960087
13位	765PRO	600000000000000108	3891736
14位	7144プロ	1100000000000000441	3633337
15位	セレブ生活したいです…	200000000000001168	2985570
16位	🌳🌳🌳🌳🌳🌳🙄強いよぉ🌳🌳🌳🌳🌳	600000000000004925	2864801
17位	鳩の王子	1100000000000004878	2600992
18位	いち◯いち	500000000000005285	2558656
19位	二階堂精肉店-台湾店	1300000000000005105	2416795
20位	Engage!	1300000000000001529	2360924
※04/20 15:06 集計時点 BY SKDN

HHV(仮)	500000000000000502	9117947
765飯店	1000000000000000962	8831445
TrySail	1500000000000003422	8099875
新月会	700000000000004707	7969187
アイドルと機関銃🍬🍬🍬	400000000000000749	6886348
台湾行きたいワン！	1500000000000005246	6814872
プロジェクトイオリー	200000000000000623	5684590
Starlight*	1500000000000005236	5036983
スピカ	5183	4846852
R-Gray	1500000000000004429	4132486
もやし食べても心はセレブ	300000000000004806	4014032
ホワイトボードフェスタ	1000000000000005146	3960087
765PRO	600000000000000108	3891736
7144プロ	1100000000000000441	3633337
セレブ生活したいです&hellip;	200000000000001168	2985570
🌳🌳🌳🌳🌳🌳🙄強いよぉ🌳🌳🌳🌳🌳	600000000000004925	2864801
鳩の王子	1100000000000004878	2600992
いち◯いち	500000000000005285	2558656
二階堂精肉店-台湾店	1300000000000005105	2416795
Engage!	1300000000000001529	※04/20 13:10 集計時点 BYそくどん

HHV(仮)	500000000000000502	9117947
765飯店	1000000000000000962	8831445
TrySail	1500000000000003422	8099875
新月会	700000000000004707	7969187
アイドルと機関銃🍬🍬🍬	400000000000000749	6886348
台湾行きたいワン！	1500000000000005246	6814872
プロジェクトイオリー	200000000000000623	5684590
Starlight*	1500000000000005236	5036983
スピカ	5183	4846852
R-Gray	1500000000000004429	4132486
もやし食べても心はセレブ	300000000000004806	4014032
ホワイトボードフェスタ	1000000000000005146	3960087
765PRO	600000000000000108	3891736
7144プロ	1100000000000000441	3633337
セレブ生活したいです&hellip;	200000000000001168	2985570
🌳🌳🌳🌳🌳🌳🙄強いよぉ🌳🌳🌳🌳🌳	600000000000004925	2864801
鳩の王子	1100000000000004878	2600992
いち◯いち	500000000000005285	2558656
二階堂精肉店-台湾店	1300000000000005105	2416795
Engage!	1300000000000001529	※04/20 13:09 集計時点 BYそくどん

HHV(仮)	500000000000000502	9117947
765飯店	1000000000000000962	8831445
TrySail	1500000000000003422	8099875
新月会	700000000000004707	7969187
アイドルと機関銃🍬🍬🍬	400000000000000749	6886348
台湾行きたいワン！	1500000000000005246	6814872
プロジェクトイオリー	200000000000000623	5684590
Starlight*	1500000000000005236	5036983
スピカ	5183	4846852
R-Gray	1500000000000004429	4132486
もやし食べても心はセレブ	300000000000004806	4014032
ホワイトボードフェスタ	1000000000000005146	3960087
765PRO	600000000000000108	3891736
7144プロ	1100000000000000441	3633337
セレブ生活したいです&hellip;	200000000000001168	2985570
🌳🌳🌳🌳🌳🌳🙄強いよぉ🌳🌳🌳🌳🌳	600000000000004925	2864801
鳩の王子	1100000000000004878	2600992
いち◯いち	500000000000005285	2558656
二階堂精肉店-台湾店	1300000000000005105	2416795
Engage!	1300000000000001529	2360924
※04/20 13:08 集計時点 BYそくどん

HHV(仮)	500000000000000502	9117947
765飯店	1000000000000000962	8831445
TrySail	1500000000000003422	8099875
新月会	700000000000004707	7969187
アイドルと機関銃🍬🍬🍬	400000000000000749	6886348
台湾行きたいワン！	1500000000000005246	6814872
プロジェクトイオリー	200000000000000623	5684590
Starlight*	1500000000000005236	5036983
スピカ	5183	4846852
R-Gray	1500000000000004429	4132486
もやし食べても心はセレブ	300000000000004806	4014032
ホワイトボードフェスタ	1000000000000005146	3960087
765PRO	600000000000000108	3891736
7144プロ	1100000000000000441	3633337
セレブ生活したいです&hellip;	200000000000001168	2985570
🌳🌳🌳🌳🌳🌳🙄🌳🌳🌳🌳🌳🌳🌳🌳	600000000000004925	2864801
鳩の王子	1100000000000004878	2600992
いち◯いち	500000000000005285	2558656
二階堂精肉店-台湾店	1300000000000005105	2416795
Engage!	1300000000000001529	2360924
※04/20 13:07 集計時点 BYそくどん

HHV(仮)	500000000000000502	9117947
765飯店	1000000000000000962	8831445
TrySail	1500000000000003422	8099875
新月会	700000000000004707	7969187
アイドルと機関銃🍬🍬🍬	400000000000000749	6886348
台湾行きたいワン！	1500000000000005246	6814872
プロジェクトイオリー	200000000000000623	5684590
