100位	 269,382,878  pt
500位	 129,628,184  pt
1200位	 48,195,561  pt
1300位	 42,924,722  pt
1000位	 61,156,112  pt
1位	 2,671,622,983  pt
10位	 783,607,394  pt
11位	 782,519,445  pt
20位	 623,016,197  pt
700位	 94,115,051  pt
765位	 86,146,536  pt
770位	 85,367,944  pt
300位	 172,221,887  pt
1999位	 25,619,044  pt
2000位	 25,611,971  pt
2999位	 15,354,109  pt
3000位	 15,353,814  pt
3999位	 10,086,196  pt
4000位	 10,083,426  pt
4999位	 6,862,952  pt
5000位	 6,859,274  pt
9999位	 1,383,016  pt
10000位	 1,381,636  pt
15000位	 205,864  pt
20000位	 1,681  pt
30000位	 0  pt
※06/27 17:00 集計時点のポイントですBY SKDN
